Timestamp,Open,High,Low,Close,Volume,Timestamp2
1692330300,19301.8,19317.2,19276.5,19307.1,0,2023-08-18 09:15:00+05:30
1692330600,19306.8,19315.2,19293.0,19315.2,0,2023-08-18 09:20:00+05:30
1692330900,19315.9,19329.8,19315.2,19326.2,0,2023-08-18 09:25:00+05:30
1692331200,19325.8,19327.8,19311.2,19316.2,0,2023-08-18 09:30:00+05:30
1692331500,19316.4,19320.3,19291.3,19294.3,0,2023-08-18 09:35:00+05:30
1692331800,19293.7,19294.9,19279.4,19283.9,0,2023-08-18 09:40:00+05:30
1692332100,19283.7,19289.4,19281.8,19287.9,0,2023-08-18 09:45:00+05:30
1692332400,19287.4,19292.6,19271.8,19274.6,0,2023-08-18 09:50:00+05:30
1692332700,19275.1,19278.3,19266.1,19267.7,0,2023-08-18 09:55:00+05:30
1692333000,19267.4,19274.7,19261.5,19271.9,0,2023-08-18 10:00:00+05:30
1692333300,19271.8,19271.8,19263.8,19271.5,0,2023-08-18 10:05:00+05:30
1692333600,19272.5,19272.9,19258.3,19266.3,0,2023-08-18 10:10:00+05:30
1692333900,19265.8,19286.9,19262.0,19286.3,0,2023-08-18 10:15:00+05:30
1692334200,19285.6,19286.4,19274.7,19279.9,0,2023-08-18 10:20:00+05:30
1692334500,19279.4,19281.3,19271.7,19271.9,0,2023-08-18 10:25:00+05:30
1692334800,19273.1,19277.5,19269.6,19276.7,0,2023-08-18 10:30:00+05:30
1692335100,19276.8,19280.2,19266.6,19268.3,0,2023-08-18 10:35:00+05:30
1692335400,19268.6,19268.7,19260.8,19261.4,0,2023-08-18 10:40:00+05:30
1692335700,19261.5,19268.1,19253.6,19266.9,0,2023-08-18 10:45:00+05:30
1692336000,19267.4,19276.7,19262.7,19263.0,0,2023-08-18 10:50:00+05:30
1692336300,19262.9,19275.2,19259.3,19271.4,0,2023-08-18 10:55:00+05:30
1692336600,19271.6,19276.2,19267.2,19272.6,0,2023-08-18 11:00:00+05:30
1692336900,19273.6,19277.6,19270.6,19274.8,0,2023-08-18 11:05:00+05:30
1692337200,19275.6,19279.7,19269.9,19276.7,0,2023-08-18 11:10:00+05:30
1692337500,19276.9,19279.3,19273.5,19274.7,0,2023-08-18 11:15:00+05:30
1692337800,19274.8,19281.0,19271.8,19275.3,0,2023-08-18 11:20:00+05:30
1692338100,19275.7,19287.0,19273.8,19285.6,0,2023-08-18 11:25:00+05:30
1692338400,19286.3,19298.5,19286.0,19297.1,0,2023-08-18 11:30:00+05:30
1692338700,19297.6,19303.3,19291.6,19298.8,0,2023-08-18 11:35:00+05:30
1692339000,19299.3,19303.7,19296.6,19302.1,0,2023-08-18 11:40:00+05:30
1692339300,19302.0,19305.3,19297.2,19302.4,0,2023-08-18 11:45:00+05:30
1692339600,19303.2,19303.5,19296.0,19297.7,0,2023-08-18 11:50:00+05:30
1692339900,19298.7,19306.2,19297.1,19304.8,0,2023-08-18 11:55:00+05:30
1692340200,19305.1,19315.8,19303.4,19313.2,0,2023-08-18 12:00:00+05:30
1692340500,19313.6,19313.9,19301.7,19308.4,0,2023-08-18 12:05:00+05:30
1692340800,19309.8,19310.8,19303.4,19304.6,0,2023-08-18 12:10:00+05:30
1692341100,19305.2,19307.2,19288.6,19290.7,0,2023-08-18 12:15:00+05:30
1692341400,19291.6,19294.8,19285.5,19287.6,0,2023-08-18 12:20:00+05:30
